"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DCAF1",1.17074183633218e-70,1.13791435343942,0.575,0.148,3.98216128210028e-66,"CM5","DCAF1"
"SOCS3",3.38252900103791e-70,2.94068285595283,0.085,0.003,1.15053341441304e-65,"CM5","SOCS3"
"LYN",3.9311676833662e-70,2.45208731272264,0.204,0.023,1.33714737582018e-65,"CM5","LYN"
"EEPD1",4.90786633295793e-70,1.55452641615803,0.463,0.105,1.66936165449231e-65,"CM5","EEPD1"
"NFATC2",7.77576429143688e-70,1.49359318610493,0.401,0.083,2.64484846608934e-65,"CM5","NFATC2"
"TRANK1",9.84610607601156e-70,1.08490497986865,0.52,0.125,3.34905452069457e-65,"CM5","TRANK1"
"GRAMD4",1.19957375133689e-69,1.12532450240848,0.786,0.258,4.0802301577973e-65,"CM5","GRAMD4"
"VPS37C",1.28430488267492e-69,1.70759418424886,0.228,0.029,4.36843462793046e-65,"CM5","VPS37C"
"SEC24D",2.47876863618156e-69,1.31759596595524,0.582,0.156,8.43128363910797e-65,"CM5","SEC24D"
"AHDC1",2.61014621207209e-69,1.22988912261161,0.65,0.187,8.87815132574202e-65,"CM5","AHDC1"
"HM13",5.2221800949693e-69,0.982723437438218,0.667,0.188,1.77627233750286e-64,"CM5","HM13"
"SMAD3",6.48284146289492e-69,1.4586155095803,0.684,0.214,2.20507369518908e-64,"CM5","SMAD3"
"TMEM181",9.37768958083109e-69,1.22074257331834,0.514,0.125,3.18972733402389e-64,"CM5","TMEM181"
"LAMB1",1.03363187364373e-68,1.34574629541397,0.65,0.192,3.51579545501179e-64,"CM5","LAMB1"
"GRAMD1A",1.8799412801686e-68,1.33802222466526,0.354,0.066,6.39443227036547e-64,"CM5","GRAMD1A"
"ELOVL5",2.05561624217198e-68,1.17288664470764,0.466,0.106,6.99197308612378e-64,"CM5","ELOVL5"
"PCDHGB6",2.2610830919884e-68,1.12566126607821,0.456,0.102,7.69084802908933e-64,"CM5","PCDHGB6"
"KLHL2",3.31785282048249e-68,1.49674385572559,0.289,0.046,1.12853445835891e-63,"CM5","KLHL2"
"LDHA",3.70851306382281e-68,1.01694944976295,0.388,0.076,1.26141363352869e-63,"CM5","LDHA"
"EDA",9.91468075848689e-68,1.49420890589671,0.833,0.356,3.37237951319173e-63,"CM5","EDA"
"TNRC18",2.06397160686163e-67,1.06613363264358,0.731,0.226,7.02039302357916e-63,"CM5","TNRC18"
"MIDN",7.1217401264759e-67,1.22836518641097,0.408,0.086,2.42238868661951e-62,"CM5","MIDN"
"PLIN3",1.46115632707287e-66,1.90054237306204,0.241,0.034,4.96997713090566e-62,"CM5","PLIN3"
"ETS2",1.46975705610943e-66,1.12700120520805,0.289,0.046,4.99923165065062e-62,"CM5","ETS2"
"DAB2IP",1.74585094680131e-66,1.18847982552023,0.854,0.323,5.93833741044999e-62,"CM5","DAB2IP"
"SSBP3",2.2120953665048e-66,1.2427573905898,0.878,0.364,7.52422117962943e-62,"CM5","SSBP3"
"NRIP1",3.59286025456855e-66,1.34344490060461,0.786,0.285,1.22207548698895e-61,"CM5","NRIP1"
"PITPNM2",4.19224230647142e-66,1.22427538238894,0.782,0.271,1.42594929812319e-61,"CM5","PITPNM2"
"MDFIC",5.69547647982481e-66,1.17822192593553,0.748,0.249,1.93725936984761e-61,"CM5","MDFIC"
"SCMH1",7.97643868128786e-66,1.27183711053691,0.963,0.551,2.71310585305325e-61,"CM5","SCMH1"
"P4HB",8.7570667353428e-66,1.04608911090829,0.524,0.131,2.9786286793595e-61,"CM5","P4HB"
"DGKD",1.1915105188892e-65,1.25591126582967,0.854,0.32,4.05280387894974e-61,"CM5","DGKD"
"SLC39A11",1.52736792721959e-65,1.13388517622807,0.599,0.166,5.1951892676447e-61,"CM5","SLC39A11"
"EVA1C",1.83981627696137e-65,1.30387011355691,0.799,0.295,6.25795108445641e-61,"CM5","EVA1C"
"ATP8B1",2.09860361173185e-65,1.00542810340125,0.527,0.134,7.1381903249447e-61,"CM5","ATP8B1"
"PWRN1",3.10609611334688e-65,2.22369639723893,0.279,0.046,1.05650753199381e-60,"CM5","PWRN1"
"RASAL2",3.20908787716746e-65,1.09593990990339,0.986,0.818,1.09153915053974e-60,"CM5","RASAL2"
"PTP4A2",4.52723309482205e-65,0.982656654345841,0.656,0.19,1.53989306487277e-60,"CM5","PTP4A2"
"KCNK15-AS1",5.57737966684633e-65,1.98783953299312,0.262,0.04,1.89708991988111e-60,"CM5","KCNK15-AS1"
"AL078604.4",6.938927204519e-65,1.32980019599048,0.714,0.241,2.36020669934509e-60,"CM5","AL078604.4"
"SBNO2",9.12345011798791e-65,1.5710112421175,0.248,0.036,3.10325032313241e-60,"CM5","SBNO2"
"YEATS2",1.05171244137048e-64,1.05348083686831,0.585,0.159,3.57729469807756e-60,"CM5","YEATS2"
"SOGA1",1.05680715503305e-64,1.13727836261548,0.619,0.177,3.59462385712942e-60,"CM5","SOGA1"
"KLHL25",1.21585969596223e-64,2.13257052618628,0.238,0.034,4.13562516984592e-60,"CM5","KLHL25"
"NDST1",1.65966185149949e-64,1.11266353692335,0.578,0.16,5.64517382169037e-60,"CM5","NDST1"
