"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RABL3",5.27003150537517e-12,0.564899940031325,0.093,0.052,1.79254851623831e-07,"Peds_Ctrl","RABL3"
"TRAFD1",5.27654328459e-12,0.743510260920416,0.064,0.031,1.79476343282044e-07,"Peds_Ctrl","TRAFD1"
"CLIC2",5.29020723462604e-12,0.506797009533038,0.141,0.088,1.7994110887857e-07,"Peds_Ctrl","CLIC2"
"TMCO4",5.476245031173e-12,0.747408232329928,0.056,0.026,1.86268998490319e-07,"Peds_Ctrl","TMCO4"
"DDOST",5.61163154876241e-12,0.675818260947315,0.097,0.055,1.90874035499605e-07,"Peds_Ctrl","DDOST"
"GALNS",5.62133378073186e-12,1.07245777803108,0.056,0.026,1.91204047217814e-07,"Peds_Ctrl","GALNS"
"TMEM126B",5.67933243174639e-12,0.90462453460849,0.071,0.036,1.93176813333422e-07,"Peds_Ctrl","TMEM126B"
"SCARF1",5.69252483482624e-12,0.560896926953012,0.15,0.096,1.9362553973178e-07,"Peds_Ctrl","SCARF1"
"YWHAB",5.752879044088e-12,0.517444670149287,0.225,0.159,1.95678427805609e-07,"Peds_Ctrl","YWHAB"
"TANGO2",5.76724389517464e-12,0.767923207668694,0.075,0.039,1.9616703385047e-07,"Peds_Ctrl","TANGO2"
"TMEM62",5.85483032045191e-12,0.583483487855671,0.147,0.094,1.99146198519851e-07,"Peds_Ctrl","TMEM62"
"APEX1",5.95496683035861e-12,0.759693137408418,0.076,0.04,2.02552241767818e-07,"Peds_Ctrl","APEX1"
"ANKRA2",6.06019092500076e-12,0.775421528923448,0.083,0.045,2.06131334122976e-07,"Peds_Ctrl","ANKRA2"
"ZFAND4",6.38385648166286e-12,0.543423504203463,0.085,0.046,2.1714049436728e-07,"Peds_Ctrl","ZFAND4"
"CRTAP",6.42169349032969e-12,0.660120693832404,0.071,0.036,2.18427482380074e-07,"Peds_Ctrl","CRTAP"
"POLI",6.63807218068102e-12,1.0758282250182,0.074,0.039,2.25787387153684e-07,"Peds_Ctrl","POLI"
"RRP15",6.84679785464666e-12,0.75903032866885,0.07,0.036,2.32886982227952e-07,"Peds_Ctrl","RRP15"
"SUGT1",7.13160000667223e-12,0.665095690941409,0.132,0.083,2.42574242626949e-07,"Peds_Ctrl","SUGT1"
"MAEA",7.15230740596455e-12,0.587884339487823,0.09,0.05,2.43278584106478e-07,"Peds_Ctrl","MAEA"
"ELOB",7.19036648875629e-12,0.637193708605341,0.127,0.079,2.44573125748557e-07,"Peds_Ctrl","ELOB"
"ZNF836",7.34865538595565e-12,1.04188331974946,0.061,0.029,2.49957164297895e-07,"Peds_Ctrl","ZNF836"
"CPSF4",7.88944081778496e-12,0.830008394751987,0.055,0.025,2.68351439976138e-07,"Peds_Ctrl","CPSF4"
"KLHL9",7.98010624816335e-12,0.964453388680577,0.069,0.035,2.71435333925028e-07,"Peds_Ctrl","KLHL9"
"CLPTM1",8.13428599638365e-12,0.589546098987934,0.079,0.042,2.76679603880993e-07,"Peds_Ctrl","CLPTM1"
"DDT",8.30023136440161e-12,0.958683980552824,0.066,0.033,2.82324069628756e-07,"Peds_Ctrl","DDT"
"KIF1C",8.43126087101294e-12,0.70393249712045,0.077,0.041,2.86780907266634e-07,"Peds_Ctrl","KIF1C"
"KDELR2",8.46648600695729e-12,0.584399843179757,0.089,0.049,2.87979055040645e-07,"Peds_Ctrl","KDELR2"
"SIRT7",8.62611689709786e-12,0.844274042869842,0.058,0.027,2.93408740137887e-07,"Peds_Ctrl","SIRT7"
