"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC2A3",3.1866076797268e-08,0.963522541577227,0.143,0.078,0.00108389273618227,"MP1","SLC2A3"
"RBM47",3.22522883679664e-08,0.21794586088275,0.72,0.547,0.00109702933654801,"MP1","RBM47"
"RPS13",3.2418527015537e-08,0.283501623573141,0.19,0.111,0.00110268377790647,"MP1","RPS13"
"CRISPLD2",3.32547049988477e-08,1.2697926112682,0.099,0.048,0.0011311255358308,"MP1","CRISPLD2"
"ARHGEF2",3.36975984273961e-08,0.527595373383992,0.233,0.148,0.00114619011290945,"MP1","ARHGEF2"
"AC092650.1",3.472167552257e-08,0.77517140591291,0.111,0.055,0.0011810230712247,"MP1","AC092650.1"
"ASL",3.47273697216577e-08,0.872225979737625,0.084,0.037,0.00118121675371247,"MP1","ASL"
"NOCT",3.47648808973875e-08,1.0350818652479,0.087,0.039,0.00118249265884374,"MP1","NOCT"
"LMO2",3.51782483736091e-08,1.11575980458912,0.066,0.026,0.00119655294017994,"MP1","LMO2"
"TALDO1",3.58548681097741e-08,0.875998429693067,0.107,0.052,0.00121956748388586,"MP1","TALDO1"
"SIRT1",3.6397396730176e-08,0.802495383117422,0.199,0.123,0.00123802105238021,"MP1","SIRT1"
"C8orf37-AS1",3.67973035253016e-08,0.968645651530042,0.098,0.046,0.00125162348210961,"MP1","C8orf37-AS1"
"TUBA1B",3.85275250477826e-08,0.611547278969005,0.131,0.069,0.00131047523697528,"MP1","TUBA1B"
"RCC2",3.88245450423015e-08,0.632342262439245,0.157,0.088,0.00132057807506884,"MP1","RCC2"
"WIPI1",3.90598815481241e-08,0.903515654261429,0.152,0.085,0.00132858281097789,"MP1","WIPI1"
"FAM49B",4.02723854401433e-08,0.278284164165885,0.698,0.579,0.00136982491836103,"MP1","FAM49B"
"EIF4G2",4.06724029694676e-08,0.481556039211516,0.228,0.142,0.00138343111460347,"MP1","EIF4G2"
"ACTG1",4.24016417134227e-08,0.250923743943622,0.207,0.123,0.00144224944124036,"MP1","ACTG1"
"SNX19",4.26838471448377e-08,0.542167152807393,0.189,0.113,0.00145184837678451,"MP1","SNX19"
"MCL1",4.50523145894594e-08,0.45644534489143,0.296,0.197,0.00153240942844587,"MP1","MCL1"
"ITGAM",4.54123642741263e-08,0.628622717610021,0.24,0.156,0.00154465615842013,"MP1","ITGAM"
"GIMAP8",4.5491478975581e-08,0.526062202007504,0.177,0.104,0.00154734716587541,"MP1","GIMAP8"
"RTN3",4.80085809921411e-08,0.470078459058058,0.272,0.178,0.00163296387386669,"MP1","RTN3"
"EHBP1L1",4.90227815291255e-08,0.65457960355659,0.171,0.1,0.00166746089093168,"MP1","EHBP1L1"
"INPP5D",4.9687391764681e-08,0.337892506089852,0.611,0.485,0.00169006694348386,"MP1","INPP5D"
"RPS17",5.15560311546359e-08,0.434689108615398,0.141,0.077,0.00175362684369379,"MP1","RPS17"
"ERC1",5.31794145278743e-08,0.308373615280898,0.544,0.418,0.00180884460575112,"MP1","ERC1"
"HDAC4",5.33188948993442e-08,0.319136638773308,0.387,0.282,0.00181358889110629,"MP1","HDAC4"
"CRLS1",5.35045172761684e-08,0.356952838897156,0.184,0.108,0.00181990265063159,"MP1","CRLS1"
"DENND1A",5.39015489628488e-08,0.24763395650101,0.65,0.523,0.00183340728642234,"MP1","DENND1A"
"NAPRT",5.49218316718273e-08,0.961809947950538,0.084,0.037,0.00186811118248553,"MP1","NAPRT"
"TRIM66",5.52949276221618e-08,0.563841893872962,0.159,0.09,0.00188080166814021,"MP1","TRIM66"
"PHYKPL",5.57840502471121e-08,0.386345376141129,0.276,0.183,0.00189743868510527,"MP1","PHYKPL"
"GGNBP2",5.64485918956312e-08,0.3265733314868,0.351,0.245,0.001920042404738,"MP1","GGNBP2"
"FAM76B",5.65127261503538e-08,0.68939760719787,0.12,0.062,0.00192222386727813,"MP1","FAM76B"
"RPL37A",5.71046369092398e-08,0.326927616579801,0.257,0.164,0.00194235711983088,"MP1","RPL37A"
"EEF2",5.74450833244316e-08,0.472976689636919,0.165,0.093,0.00195393706419722,"MP1","EEF2"
"SUZ12",5.86001602654332e-08,0.452294512806611,0.237,0.149,0.00199322585126844,"MP1","SUZ12"
"RNF146",5.91846516583379e-08,0.480188090790606,0.195,0.119,0.0020131067415067,"MP1","RNF146"
"ZNF652",5.95577989174902e-08,0.303103784895022,0.33,0.226,0.00202579897237951,"MP1","ZNF652"
"DOK2",6.06591036091816e-08,0.856222566982731,0.108,0.054,0.0020632587501627,"MP1","DOK2"
"XPNPEP1",6.13990792895117e-08,0.787046665671321,0.127,0.067,0.00208842828295345,"MP1","XPNPEP1"
"SH3TC1",6.21518046766756e-08,0.450293552137027,0.326,0.226,0.00211403148427244,"MP1","SH3TC1"
"RPL35A",6.2250450484026e-08,0.286648219839368,0.163,0.092,0.00211738682276366,"MP1","RPL35A"
"RPS29",6.26213980692929e-08,0.518585809664555,0.176,0.103,0.00213000423392893,"MP1","RPS29"
"CDK19",6.26588388799265e-08,0.296819682210845,0.389,0.277,0.00213127774566182,"MP1","CDK19"
"NAA38",6.57893621224682e-08,0.266217470538796,0.099,0.047,0.00223775936323363,"MP1","NAA38"
"CD68",6.91955584659884e-08,0.847059642165718,0.105,0.052,0.00235361772566213,"MP1","CD68"
"TIMP1",6.93520094341272e-08,0.255688340799159,0.152,0.084,0.0023589392488924,"MP1","TIMP1"
"ARF3",7.02563986936462e-08,1.04278284245088,0.085,0.038,0.00238970114516568,"MP1","ARF3"
"GALNT2",7.14252186444002e-08,0.365118708813428,0.431,0.31,0.00242945738697063,"MP1","GALNT2"
"REEP4",7.44230647598187e-08,1.35263693035109,0.071,0.03,0.00253142612474047,"MP1","REEP4"
"AFTPH",7.62899381431595e-08,0.283615046446363,0.316,0.213,0.00259492595600143,"MP1","AFTPH"
"SLC35E1",7.9380615688392e-08,1.02780302011883,0.1,0.049,0.00270005226202496,"MP1","SLC35E1"
"REV3L",8.054941078261e-08,0.217643558513397,0.4,0.28,0.0027398076583597,"MP1","REV3L"
