"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS6KA21",1.13232394304509e-23,0.617827578266212,0.393,0.306,3.85148665987357e-19,"FB2","RPS6KA2"
"SEMA6D",1.24046653426406e-23,0.923695076045116,0.306,0.227,4.21932286964576e-19,"FB2","SEMA6D"
"AL138828.1",1.3272982929126e-23,1.31761949165135,0.209,0.137,4.51467241351291e-19,"FB2","AL138828.1"
"AC018618.1",1.57773359017988e-23,1.45409026767668,0.095,0.043,5.36650303363784e-19,"FB2","AC018618.1"
"IL18R1",1.77275192245023e-23,1.00603120213419,0.203,0.129,6.0298383890222e-19,"FB2","IL18R1"
"AC008591.1",2.1597832823351e-23,1.49474516805213,0.161,0.096,7.34628685653461e-19,"FB2","AC008591.1"
"PAMR11",2.54014884591473e-23,0.765726691659822,0.237,0.156,8.64006228449436e-19,"FB2","PAMR1"
"KCTD81",2.61419581106538e-23,0.875409825525892,0.189,0.115,8.89192563175778e-19,"FB2","KCTD8"
"ABHD15-AS1",3.22539400234501e-23,1.00319813333129,0.27,0.194,1.09708551595763e-18,"FB2","ABHD15-AS1"
"PLOD1",3.65962138186344e-23,0.933948742567102,0.198,0.124,1.24478361682703e-18,"FB2","PLOD1"
"CATSPERB1",3.93306456832786e-23,0.625738241621381,0.307,0.219,1.33779258227104e-18,"FB2","CATSPERB"
"KANSL1",6.00075569343702e-23,0.454298083471662,0.673,0.641,2.04109704156567e-18,"FB2","KANSL1"
"AC027698.1",8.88719500009e-23,1.43546699543319,0.156,0.092,3.02289050733061e-18,"FB2","AC027698.1"
"TMEM144",1.3334088818189e-22,0.801728705600434,0.382,0.308,4.5354569706188e-18,"FB2","TMEM144"
"PLTP1",2.92821501162513e-22,1.01184996379289,0.174,0.105,9.96003054054171e-18,"FB2","PLTP"
"ABTB2",3.66302432944107e-22,0.525063164573276,0.452,0.37,1.24594109541608e-17,"FB2","ABTB2"
"CRISPLD2",5.30341291495886e-22,0.286013061901822,0.634,0.553,1.80390286889411e-17,"FB2","CRISPLD2"
"COL5A3",6.10613908329331e-22,0.753841913881748,0.34,0.268,2.07694214779139e-17,"FB2","COL5A3"
"CALCRL1",6.18574008945625e-22,0.398758222361471,0.448,0.363,2.10401763402765e-17,"FB2","CALCRL"
"SPAAR",9.95578819390518e-22,0.915252362182168,0.207,0.134,3.38636179627491e-17,"FB2","SPAAR"
"PLXDC1",1.13462394730705e-21,0.881129374794415,0.252,0.178,3.85930989437019e-17,"FB2","PLXDC1"
"ADCY1",1.31739178699163e-21,0.907224546951944,0.2,0.129,4.48097642427332e-17,"FB2","ADCY1"
"ARL17B",1.55276585993208e-21,1.15383615766914,0.189,0.122,5.28157779597298e-17,"FB2","ARL17B"
"MYO10",3.85772728981884e-21,1.19238731520455,0.15,0.088,1.31216736035898e-16,"FB2","MYO10"
"PCDH9-AS2",5.47650460836963e-21,1.17878730610809,0.201,0.134,1.86277827749085e-16,"FB2","PCDH9-AS2"
"PTGDS",5.59834498132741e-21,0.953789627440148,0.201,0.132,1.9042210619487e-16,"FB2","PTGDS"
"SLC1A2",1.58845143100724e-20,1.28130181249173,0.107,0.055,5.40295869742802e-16,"FB2","SLC1A2"
"AL391807.11",1.74101864294752e-20,0.99356505455156,0.178,0.112,5.9219008121217e-16,"FB2","AL391807.1"
"MYH61",2.37568697436872e-20,0.967227977371363,0.15,0.088,8.08066167461777e-16,"FB2","MYH6"
"PTPN9",2.43514523330619e-20,0.752369384316937,0.393,0.326,8.28290299656767e-16,"FB2","PTPN9"
"MAP1LC3A1",2.84013178091702e-20,0.937465619061805,0.229,0.159,9.66042423961114e-16,"FB2","MAP1LC3A"
"TTN",3.29430045666713e-20,0.466266212795182,0.574,0.529,1.12052335733076e-15,"FB2","TTN"
"MAMDC2",1.01424917711394e-19,0.283471785557021,0.756,0.715,3.44986715103537e-15,"FB2","MAMDC2"
"SRGAP11",1.66459755806495e-19,0.547835467146212,0.444,0.378,5.66196213400211e-15,"FB2","SRGAP1"
"SPTBN1",1.72453782104983e-19,0.251328997179538,0.817,0.82,5.86584294451888e-15,"FB2","SPTBN1"
"SSH21",1.77581308003418e-19,0.324658408790467,0.697,0.669,6.04025061042826e-15,"FB2","SSH2"
"TMEM150C1",2.16224711500037e-19,0.864100715238244,0.194,0.127,7.35466733696226e-15,"FB2","TMEM150C"
"TRIM9",2.78874208646013e-19,1.16352768391357,0.096,0.048,9.48562733288548e-15,"FB2","TRIM9"
"PDE1A",2.87933155999342e-19,0.281917592311196,0.602,0.536,9.79375836816162e-15,"FB2","PDE1A"
"COL6A6",3.52070791260205e-19,0.667737815801145,0.339,0.262,1.19753358939246e-14,"FB2","COL6A6"
"MT-CO11",4.69088533742085e-19,0.173572834144021,0.707,0.642,1.59555773867033e-14,"FB2","MT-CO1"
"HIF3A1",5.10670737791483e-19,0.490779979466343,0.502,0.448,1.73699544752395e-14,"FB2","HIF3A"
"ZRANB2-AS2",5.34636039574765e-19,1.00595295229641,0.257,0.188,1.8185110250096e-14,"FB2","ZRANB2-AS2"
"Z99289.1",9.65058551446782e-19,1.98901122797853,0.059,0.023,3.28255015689108e-14,"FB2","Z99289.1"
"PCDH71",1.16414998287323e-18,1.08709266965862,0.146,0.088,3.95973975174502e-14,"FB2","PCDH7"
"COL6A11",1.29498910742532e-18,0.519470931557332,0.495,0.442,4.40477594999648e-14,"FB2","COL6A1"
"C1orf21",1.30489252028965e-18,0.327650392126707,0.633,0.59,4.43846141851322e-14,"FB2","C1orf21"
"TGFBR21",1.40534821785265e-18,0.305614817183665,0.646,0.599,4.780151428204e-14,"FB2","TGFBR2"
"CRYAB",3.13068687889189e-18,0.613261073384166,0.4,0.338,1.06487183498629e-13,"FB2","CRYAB"
"MYL2",6.15925839622253e-18,0.44728711785515,0.618,0.599,2.09501015089113e-13,"FB2","MYL2"
"TXNIP1",1.24302958026399e-17,0.548384754695941,0.482,0.424,4.22804081430993e-13,"FB2","TXNIP"
"PTN1",1.31810848025963e-17,0.866993854655864,0.226,0.161,4.4834141847551e-13,"FB2","PTN"
"GLRX",1.59726083526777e-17,0.983365031705356,0.246,0.182,5.4329230050798e-13,"FB2","GLRX"
"ADAMTS12",1.68690241282994e-17,0.955861656122402,0.23,0.166,5.73782986699975e-13,"FB2","ADAMTS12"
"FBXL7",1.69947996414865e-17,0.285651444880839,0.872,0.873,5.78061115005523e-13,"FB2","FBXL7"
"TC2N1",1.97892211667977e-17,0.564529475798538,0.468,0.417,6.73110568767456e-13,"FB2","TC2N"
"RNF144A",2.62051151942001e-17,0.787060754686703,0.245,0.18,8.91340788215521e-13,"FB2","RNF144A"
"ST3GAL61",2.62276937856941e-17,0.874990732466014,0.213,0.15,8.92108776426601e-13,"FB2","ST3GAL6"
"DLD",2.93337880159622e-17,0.893879399323442,0.282,0.22,9.97759465574938e-13,"FB2","DLD"
"NCOA1",3.6757127284171e-17,0.334348389837062,0.723,0.713,1.25025692744379e-12,"FB2","NCOA1"
"COL4A4",6.84349478734536e-17,0.254574640901946,0.835,0.838,2.32774631696765e-12,"FB2","COL4A4"
"AC007389.1",1.07258923025557e-16,0.841499622417482,0.255,0.193,3.64830500779129e-12,"FB2","AC007389.1"
"AC025280.2",1.32224067223348e-16,1.30851671012339,0.069,0.031,4.49746942253496e-12,"FB2","AC025280.2"
