"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IARS",2.72149643908061e-36,0.517408207571077,0.295,0.163,9.25689798788878e-32,"Peds_Ctrl","IARS"
"EXOC7",2.74791051040293e-36,0.707689528080315,0.186,0.082,9.34674281008453e-32,"Peds_Ctrl","EXOC7"
"ZNF841",2.99178412341387e-36,2.59750574761299,0.067,0.01,1.01762545173799e-31,"Peds_Ctrl","ZNF841"
"AC025366.1",3.053882294552e-36,3.46170831341591,0.052,0.003,1.03874752366892e-31,"Peds_Ctrl","AC025366.1"
"RRP7A",3.1094570362132e-36,1.6003074517364,0.098,0.027,1.05765071629756e-31,"Peds_Ctrl","RRP7A"
"XPNPEP1",3.16412634888349e-36,0.886766132925527,0.18,0.08,1.07624593630923e-31,"Peds_Ctrl","XPNPEP1"
"BCHE",3.32664629295548e-36,2.2440339703548,0.059,0.006,1.13152547008588e-31,"Peds_Ctrl","BCHE"
"ALKBH3",3.41464422081724e-36,1.00589676633076,0.15,0.059,1.16145708526878e-31,"Peds_Ctrl","ALKBH3"
"AC006504.5",3.68658104225741e-36,1.56948620975351,0.097,0.026,1.25395367571344e-31,"Peds_Ctrl","AC006504.5"
"GUCD1",3.99339309082804e-36,1.00510706084541,0.13,0.046,1.35831272591425e-31,"Peds_Ctrl","GUCD1"
"STN1",4.41664514512434e-36,1.09530390984117,0.139,0.052,1.50227767966259e-31,"Peds_Ctrl","STN1"
"RPN2",4.54436164084786e-36,0.515209349394218,0.181,0.078,1.54571916851799e-31,"Peds_Ctrl","RPN2"
"SLC18B1",5.32295221039002e-36,0.901459295045954,0.163,0.068,1.81054896484206e-31,"Peds_Ctrl","SLC18B1"
"IPO13",5.40685340477771e-36,2.10654038755991,0.083,0.019,1.83908711710109e-31,"Peds_Ctrl","IPO13"
"EXD2",5.43204968223841e-36,0.625235539009801,0.198,0.091,1.84765737891657e-31,"Peds_Ctrl","EXD2"
"HSPB2",5.63589482162694e-36,1.79423947423904,0.091,0.023,1.91699326462819e-31,"Peds_Ctrl","HSPB2"
"COG1",5.7433631217071e-36,0.868377369892593,0.17,0.073,1.95354753221745e-31,"Peds_Ctrl","COG1"
"AC015871.1",5.9690830430302e-36,1.01847804629702,0.145,0.055,2.03032390625629e-31,"Peds_Ctrl","AC015871.1"
"ZNF587B",6.01980789337742e-36,0.519468310249974,0.292,0.158,2.04757745685339e-31,"Peds_Ctrl","ZNF587B"
"LPXN",6.22682288553964e-36,0.785295269979655,0.22,0.111,2.11799153628745e-31,"Peds_Ctrl","LPXN"
"EXOSC10",6.30484249002906e-36,0.721525712536695,0.197,0.091,2.14452912455848e-31,"Peds_Ctrl","EXOSC10"
"NCKAP5L",6.32848808802642e-36,0.54826340054186,0.284,0.153,2.15257193826131e-31,"Peds_Ctrl","NCKAP5L"
"MGAT4A",6.66733551525761e-36,0.506202914757285,0.271,0.143,2.26782750215972e-31,"Peds_Ctrl","MGAT4A"
"CUEDC2",7.38174760477227e-36,1.08272680569281,0.123,0.042,2.51082763028724e-31,"Peds_Ctrl","CUEDC2"
"FAM222A",7.87664630488206e-36,2.03505043915399,0.065,0.009,2.67916247414258e-31,"Peds_Ctrl","FAM222A"
"PLEKHG5",8.85566294568404e-36,2.05151575600538,0.09,0.023,3.01216519434497e-31,"Peds_Ctrl","PLEKHG5"
"CRCP",1.03426589646919e-35,0.552548182799693,0.211,0.099,3.5179520202503e-31,"Peds_Ctrl","CRCP"
"DCAF12",1.12173048486543e-35,0.725235490764604,0.145,0.055,3.81545407122128e-31,"Peds_Ctrl","DCAF12"
"WHAMM",1.16518637776335e-35,0.59857260202317,0.173,0.073,3.96326494532427e-31,"Peds_Ctrl","WHAMM"
"KLHL9",1.18208037192705e-35,1.40495942817077,0.131,0.049,4.02072817707268e-31,"Peds_Ctrl","KLHL9"
"ZNF664",1.19390884496074e-35,1.53025911267131,0.126,0.045,4.06096154524945e-31,"Peds_Ctrl","ZNF664"
"SCYL3",1.2861859654546e-35,0.787731227944481,0.169,0.072,4.37483294289729e-31,"Peds_Ctrl","SCYL3"
"MAST4-IT1",1.31167790163686e-35,1.00096073572948,0.092,0.023,4.46154121462761e-31,"Peds_Ctrl","MAST4-IT1"
"RAB40C",1.38459711830481e-35,0.501146757010898,0.188,0.083,4.70956863820198e-31,"Peds_Ctrl","RAB40C"
"PSMD2",1.41107474571541e-35,0.964246357439375,0.157,0.065,4.79962964007639e-31,"Peds_Ctrl","PSMD2"
"SGTA",1.4405060069264e-35,1.24710234525867,0.122,0.042,4.89973713195946e-31,"Peds_Ctrl","SGTA"
"YBX1",1.44889686071894e-35,0.574383487597784,0.271,0.146,4.9282777820494e-31,"Peds_Ctrl","YBX1"
"RIPOR1",1.49751519835076e-35,0.642581773234914,0.174,0.074,5.09364819567028e-31,"Peds_Ctrl","RIPOR1"
"TMA16",1.57578105530224e-35,1.13554601946931,0.117,0.039,5.35986168150503e-31,"Peds_Ctrl","TMA16"
"RPS15",1.6359640713125e-35,0.714488338073591,0.2,0.095,5.56456819216234e-31,"Peds_Ctrl","RPS15"
"ALDH1L1-AS2",1.69212573505863e-35,2.16022768311821,0.068,0.011,5.75559647522843e-31,"Peds_Ctrl","ALDH1L1-AS2"
"ATXN2L",1.73581383558345e-35,0.650796780063045,0.222,0.11,5.90419718035354e-31,"Peds_Ctrl","ATXN2L"
"DHRS7B",1.92773120666986e-35,0.555920143218124,0.301,0.172,6.55698492636688e-31,"Peds_Ctrl","DHRS7B"
"GATA6-AS1",1.94348382118598e-35,0.80704227950653,0.37,0.25,6.610565869382e-31,"Peds_Ctrl","GATA6-AS1"
"PIK3R4",2.04030253509689e-35,0.732564839070346,0.213,0.104,6.93988504287857e-31,"Peds_Ctrl","PIK3R4"
"CLDND2",2.11189993202532e-35,1.31896483409623,0.143,0.058,7.18341642879091e-31,"Peds_Ctrl","CLDND2"
"SENP3",2.12501414120294e-35,0.642242167119323,0.099,0.027,7.22802309988767e-31,"Peds_Ctrl","SENP3"
"CERS2",2.22680862089585e-35,1.19917114154766,0.101,0.029,7.57426684311514e-31,"Peds_Ctrl","CERS2"
"PPME1",2.22701081255732e-35,0.518452467944806,0.299,0.165,7.57495457783247e-31,"Peds_Ctrl","PPME1"
"GATB",2.27154673075957e-35,0.697837469482373,0.184,0.082,7.72643905000559e-31,"Peds_Ctrl","GATB"
"RDH13",2.30304753063576e-35,0.572436382787622,0.217,0.105,7.83358587070447e-31,"Peds_Ctrl","RDH13"
"NUP93",2.34017061992343e-35,0.519425576218095,0.166,0.068,7.95985634660754e-31,"Peds_Ctrl","NUP93"
"GNA11",2.3836752571123e-35,1.07148219838188,0.099,0.027,8.10783301954179e-31,"Peds_Ctrl","GNA11"
"STK10",2.42833411695737e-35,0.963794862753907,0.084,0.019,8.25973566541879e-31,"Peds_Ctrl","STK10"
"HSPA12A",2.50384711313878e-35,0.768095481591747,0.218,0.107,8.51658557063023e-31,"Peds_Ctrl","HSPA12A"
"VSIG10",2.571654511983e-35,0.512371828412352,0.272,0.146,8.74722565705898e-31,"Peds_Ctrl","VSIG10"
"EIF3F",2.63585978186486e-35,1.05539473641184,0.137,0.051,8.96561346203513e-31,"Peds_Ctrl","EIF3F"
"AC123912.1",2.6615431128446e-35,0.919591298549419,0.151,0.06,9.05297274402961e-31,"Peds_Ctrl","AC123912.1"
"FAM157C",2.79960977238724e-35,1.78886339100346,0.112,0.037,9.52259267979795e-31,"Peds_Ctrl","FAM157C"
"MPP2",3.02766829811707e-35,0.990536288220149,0.135,0.05,1.02983109492154e-30,"Peds_Ctrl","MPP2"
"BX664615.2",3.08082139596563e-35,1.64773888958165,0.125,0.045,1.04791058962375e-30,"Peds_Ctrl","BX664615.2"
"PLEKHA6",3.20362732451662e-35,0.513334837844636,0.344,0.207,1.08968179816108e-30,"Peds_Ctrl","PLEKHA6"
