"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CALML4",3.03878657229184e-07,0.868238170914371,0.052,0.027,0.0103361286469935,"EC3","CALML4"
"LRRK1",3.04523496284018e-07,0.664924557071403,0.13,0.09,0.0103580622026046,"EC3","LRRK1"
"SMARCE1",3.32478463418681e-07,0.270196791307246,0.162,0.115,0.011308922454723,"EC3","SMARCE1"
"SPATA6L",3.36675039839156e-07,0.331364949860486,0.116,0.077,0.011451664805089,"EC3","SPATA6L"
"CASP4",3.36897577756217e-07,0.3982166989858,0.173,0.125,0.0114592342098,"EC3","CASP4"
"CPNE5",3.37418175190246e-07,0.646430006067866,0.106,0.069,0.011476941810921,"EC3","CPNE5"
"NOP58",3.48785159033716e-07,0.625807607400053,0.159,0.115,0.0118635783993728,"EC3","NOP58"
"ACTB",3.6784542371001e-07,0.274905762019628,0.309,0.246,0.0125118942420723,"EC3","ACTB"
"VPS9D1",3.75805979487337e-07,0.954154590691571,0.063,0.036,0.0127826645862823,"EC3","VPS9D1"
"SRSF4",3.78128898577604e-07,0.240343383385074,0.445,0.381,0.0128616763562186,"EC3","SRSF4"
"RIPK1",3.90538102842759e-07,0.330786985495746,0.226,0.173,0.0132837630300936,"EC3","RIPK1"
"AC021054.1",4.2539515190434e-07,0.556142120690768,0.123,0.084,0.0144693906968742,"EC3","AC021054.1"
"IL1RAP",4.59427789128795e-07,0.808866781202964,0.055,0.03,0.0156269768194268,"EC3","IL1RAP"
"CDV3",4.6851580178907e-07,0.457313188730033,0.115,0.076,0.0159360964820534,"EC3","CDV3"
"TRIB2",4.86466404384383e-07,0.863728514723588,0.091,0.058,0.0165466682787304,"EC3","TRIB2"
"TTC39B",4.8723470627098e-07,0.480486594826352,0.141,0.099,0.0165728012991011,"EC3","TTC39B"
"PHKA1",4.89874515985568e-07,0.612133643058008,0.118,0.08,0.0166625917867331,"EC3","PHKA1"
"EIF2S2",4.92340158410219e-07,0.384961048040571,0.173,0.125,0.0167464581481652,"EC3","EIF2S2"
"UBAP2",5.00426991978848e-07,0.245470631845083,0.244,0.186,0.0170215237051685,"EC3","UBAP2"
"XKR4",5.09326314306148e-07,1.06720123057638,0.052,0.028,0.0173242252548093,"EC3","XKR4"
"RREB1",5.09715910087151e-07,0.292045557997028,0.332,0.269,0.0173374769657044,"EC3","RREB1"
"TOMM6",5.31313886909757e-07,0.523313239638776,0.094,0.06,0.0180721105493485,"EC3","TOMM6"
"SRSF7",5.33830838405065e-07,0.285455397535942,0.304,0.242,0.0181577221375099,"EC3","SRSF7"
"NFATC1",5.443883741281e-07,0.386498256301033,0.17,0.123,0.0185168261575932,"EC3","NFATC1"
"UBN1",5.61055328397604e-07,0.299247343161929,0.185,0.136,0.0190837359401161,"EC3","UBN1"
"CFAP54",5.78582584907246e-07,0.689556859020775,0.058,0.032,0.0196799080430351,"EC3","CFAP54"
"SLC39A11",5.89628112260068e-07,0.311907507181165,0.206,0.155,0.020055610610414,"EC3","SLC39A11"
"CCDC65",5.90523322777404e-07,0.526746552596911,0.081,0.05,0.0200860603009506,"EC3","CCDC65"
"KIAA0232",6.06113506512522e-07,0.402473899310225,0.293,0.238,0.0206163448105169,"EC3","KIAA0232"
"MYO9A",6.15229155883584e-07,0.233079497022931,0.461,0.395,0.0209264045082242,"EC3","MYO9A"
"MAF",6.23749812789139e-07,0.188695463146233,0.069,0.04,0.0212162261322098,"EC3","MAF"
"YWHAQ",6.41628314851399e-07,0.396584601962997,0.255,0.2,0.0218243455013555,"EC3","YWHAQ"
"SULF21",6.69485236420854e-07,0.207260518398507,0.411,0.34,0.0227718708316189,"EC3","SULF2"
"RAB2A",6.7265710039396e-07,0.164007640910717,0.484,0.408,0.0228797586128002,"EC3","RAB2A"
"EIF3E",6.78830621176122e-07,0.28284097116232,0.215,0.162,0.0230897447486846,"EC3","EIF3E"
"ACBD3",6.86297464599821e-07,0.469672532296415,0.155,0.112,0.0233437219608983,"EC3","ACBD3"
"PCBP1-AS1",6.92014089927938e-07,0.201320386745102,0.298,0.236,0.0235381672548089,"EC3","PCBP1-AS1"
"PDE9A1",6.95031880397998e-07,0.347891877636099,0.185,0.136,0.0236408143798575,"EC3","PDE9A"
"CD320",7.01087611285366e-07,0.468750530179308,0.106,0.07,0.0238467940102604,"EC3","CD320"
"DCAF1",7.03875185493936e-07,0.477134104231993,0.158,0.114,0.0239416105593907,"EC3","DCAF1"
"PACRGL",7.14427012973554e-07,0.552547494362547,0.12,0.082,0.0243005204192825,"EC3","PACRGL"
"UBL3",7.15445697354696e-07,0.407297761973699,0.192,0.143,0.0243351699498226,"EC3","UBL3"
"PRRG11",7.16662303014519e-07,0.298069766232519,0.29,0.232,0.0243765515747358,"EC3","PRRG1"
"PTMS",7.30348294565617e-07,0.318398255691322,0.14,0.098,0.0248420668913549,"EC3","PTMS"
"DHX15",7.31660421452949e-07,0.373195642729051,0.285,0.229,0.0248866975753006,"EC3","DHX15"
"TSC22D3",7.35864228518482e-07,0.296991415291729,0.353,0.288,0.0250296858688276,"EC3","TSC22D3"
"TTC21B",7.39322732385901e-07,0.408772443434802,0.202,0.152,0.025147323419374,"EC3","TTC21B"
"RELB",7.43655403460367e-07,0.733574568269181,0.124,0.086,0.0252946948933009,"EC3","RELB"
"TAPBP",7.51999131750927e-07,0.305355357806462,0.191,0.141,0.025578498467376,"EC3","TAPBP"
"DNM1L",7.54966538388017e-07,0.308185051755809,0.257,0.202,0.02567943183673,"EC3","DNM1L"
"TMSB4X",7.68821931258814e-07,0.344135232378931,0.377,0.316,0.0261507091698373,"EC3","TMSB4X"
"SOCS4",7.77342386479275e-07,0.645293634097067,0.118,0.081,0.0264405239337061,"EC3","SOCS4"
"MTSS11",7.99696779721054e-07,0.181258934795387,0.446,0.368,0.0272008862654319,"EC3","MTSS1"
"NOL11",8.29679271759788e-07,0.513621221388875,0.082,0.051,0.0282207107496374,"EC3","NOL11"
"ZBTB7A",8.4802302767065e-07,0.362224106304625,0.147,0.104,0.0288446552631895,"EC3","ZBTB7A"
"TCF25",9.11476344850777e-07,0.240131214518758,0.402,0.339,0.0310029563937543,"EC3","TCF25"
